1,Licență MV/Patologie și clinică medicală,0,Disfagie de ordinul II apare în:,faringită,stomatită,esofagită
2,Licență MV/Patologie și clinică medicală,0,"În stomatita catarală, tratamentul local se face cu:",albastru de metilen 1-3%,tinctură de iod,apă oxigenată
3,Licență MV/Patologie și clinică medicală,1,"În paralizia faringelui, reflexul de deglutiţie este:",prezent,absent,diminuat
4,Licență MV/Patologie și clinică medicală,0,Tratamentul în paralizia faringelui se face cu:,vitamina B1,vitamina K,vitamina D
5,Licență MV/Patologie și clinică medicală,2,În obstrucţia esofagului se administrează:,antibiotice,antihistaminice,miorelaxante
6,Licență MV/Patologie și clinică medicală,0,"Medicamentos, în colică la cal se administrează:",Finadyne,Pilocarpină,"Sulfatiazol, iv"
7,Licență MV/Patologie și clinică medicală,2,În dispepsia hipoclorhidrică se administrează:,vasoperif,ulei de ricin,acidopeps
8,Licență MV/Patologie și clinică medicală,1,Dispepsia hiperclorhidrică se tratează cu:,Rumisan,Ulcerotrat,Acid lactic 10%
9,Licență MV/Patologie și clinică medicală,0,În enteroragie se administrează:,Venostat,Istizin,Ufrix
10,Licență MV/Patologie și clinică medicală,0,În gastrita catarală se administrează:,Almagel A,Sulfat de magneziu,Nefrix
11,Licență MV/Patologie și clinică medicală,2,Cu efecte hepatoprotectoare se folosesc:,Metenamin,Metoclopramid,Mecopar
12,Licență MV/Patologie și clinică medicală,0,"În icterul mecanic, culoarea mucoaselor este:",galben-citrin,galben-portocaliu,hiperemiate
13,Licență MV/Patologie și clinică medicală,2,"Prin puncţia abdominală, în ascită se obţine:",sânge,exsudat,transsudat
14,Licență MV/Patologie și clinică medicală,1,"La cal, peritonita este:",cronică şi localizată,acută şi generalizată,cronică
15,Licență MV/Patologie și clinică medicală,0,"La bovine, peritonita este:",cronică şi localizată,acută,acută şi localizată
16,Licență MV/Patologie și clinică medicală,1,"În hemoperitoneu, mucoasele sunt:",icterice,anemice,congestionate
17,Licență MV/Patologie și clinică medicală,1,"În hemoptizie, sediul hemoragiei este:",gastric,pulmonar,nazal
18,Licență MV/Patologie și clinică medicală,0,În hemoptizie se percep:,raluri bronho-alveolare umede,suflu pleuretic,suflu tubar
19,Licență MV/Patologie și clinică medicală,1,În hemoptizie se administrează:,Atropină,Etamsilat,Pilocarpină
20,Licență MV/Patologie și clinică medicală,2,În edemul laringian de natură alergică se administrează:,Furosemid,Propamicin,Borogluconat de calciu
21,Licență MV/Patologie și clinică medicală,1,"În bronşite, faza exsudativă se administrează:",sulfat de sodiu,benzoat de sodiu,sulfat de magneziu
22,Licență MV/Patologie și clinică medicală,1,"În macrobronşită, faza congestivă, stetoscopic se percep:",suflu nedefinit,raluri 7bronhiale ronflante,suflu tubar
23,Licență MV/Patologie și clinică medicală,1,"În medio- microbronşită, faza congestivă, stetoscopic se percep:",raluri alveolare crepitante,raluri bronhiale sibilante,raluri bronhiale ronflante
24,Licență MV/Patologie și clinică medicală,2,"În edemul pulmonar, prin ascultaţie se înregistrează:",suflu amforic,suflu cavernos,raluri bronho-alveolare umede
25,Licență MV/Patologie și clinică medicală,2,"În obstrucţiile marilor bronhii,posterior locului obstruat, murmurul vezicular este:",murmur vezicular înăsprit,murmur vezicular diminuat,murmur vezicular absent
26,Licență MV/Patologie și clinică medicală,0,Atelectazia pulmonară evoluează cu:,normotermie,febră,subfebrilitate
27,Licență MV/Patologie și clinică medicală,2,"În timpul crizei, în astmul bronşic se administrează:",pilocarpină,iodură de potasiu,miofilin
28,Licență MV/Patologie și clinică medicală,2,"În congestia pulmonară activă, stetoscopic se percepe:",suflu pleuretic,murmur vezicular înăsprit,"murmur vezicular înăsprit, însoţit sau urmat de raluri bronhiale umede"
29,Licență MV/Patologie și clinică medicală,1,"Medicamentos, în edemul pulmonar se administrează:",sulfat de sodiu,atropină,sulfat de magneziu
30,Licență MV/Patologie și clinică medicală,2,"În hemoptizie, jetajul este:","spumos, albicios, bilateral","de culoare închisă, cu miros înţepător","spumos, bilateral, hemoragic"
31,Licență MV/Patologie și clinică medicală,2,"În bronhopneumonia catarală, prin ascultaţie se percepe:",suflu pleuretic,suflu tubar,suflu nedefinit
32,Licență MV/Patologie și clinică medicală,2,"În pneumonia fibrinoasă, stetoscopic se percepe:",suflu amforic,suflu pleuretic,suflu tubar
33,Licență MV/Patologie și clinică medicală,1,"În pneumonia lobară, febra este:",remitentă,în platou,intermitentă
34,Licență MV/Patologie și clinică medicală,1,"În pleurită, faza congestivă, stetoscopic se înregistrează:",suflu nedefinit,frecătură pleurală,suflu pleuretic
35,Licență MV/Patologie și clinică medicală,2,"În pleurezie, prin ascultaţie se percepe:",frecătură pleurală,raluri bronhiale sibilante,suflu pleuretic
36,Licență MV/Patologie și clinică medicală,2,"În hidrotorax, se administrează:",Feniramin,Romergan,Furosemid
37,Licență MV/Patologie și clinică medicală,0,"În emfizemul pulmonar alveolar acut, stetoscopic se percepe:",murmur vezicular înăsprit,murmur vezicular diminuat,murmur vezicular abolit
38,Licență MV/Patologie și clinică medicală,2,Raluri alveolare uscate se percep stetoscopic în:,edem pulmonar,bronhopneumonie catarală,emfizem pulmonar alveolar cronic
39,Licență MV/Patologie și clinică medicală,2,Cornajul inspirator apare în:,paralizia vălului palatin,rinită ,paralizia laringelui
40,Licență MV/Patologie și clinică medicală,1,În paralizia laringelui se administrează:,Nilfan,Stricnină,Lincospectin
41,Licență MV/Patologie și clinică medicală,1,Pneumonia lobară are evoluţie:,cronică,"ciclică, 9-14 zile",supracută
42,Licență MV/Patologie și clinică medicală,1,Ca antiaritmic se utilizează:,Paracetamol,Propranolol,Piafen
43,Licență MV/Patologie și clinică medicală,2,Stimularea tonusului cardiac se face cu:,Levamisol,Lizadon,Lanatozid C
44,Licență MV/Patologie și clinică medicală,1,"În pericardita traumatică, (faza congestivă), stetoscopic se percepe:","zgomot de lichid, de “picătură”",frecătură pericardică,sufluri endocardice organice
45,Licență MV/Patologie și clinică medicală,1,"Ectazia jugularelor, fără puls venos, apare în:",miocardita acută,"pericardita traumatică, faza exsudativă",endocardita cronică
46,Licență MV/Patologie și clinică medicală,1,"Prin pericardocenteză, transsudat se obţine în:","pericardita traumatică, faza congestivă",hidropericard,"pericardita traumatică, faza exsudativă"
47,Licență MV/Patologie și clinică medicală,2,"Şocul cardiac, de intensitate şi frecvenţă crerscută, comparat cu lovitură “de bilă în boltă”, apare în:",hemopericard,hidropericard,miocardită acută
48,Licență MV/Patologie și clinică medicală,1,"În dilataţia cardiacă, stetoscopic se înregistrează:","zgomot de lichid, de picătură",sufluri endocardice organice,sufluri funcţionale
49,Licență MV/Patologie și clinică medicală,1,Zgomotul sistolic este de natură:,vasculo-valvulară,musculo-valvulară,musculară
50,Licență MV/Patologie și clinică medicală,1,"Pe partea stângă, focarele de ascultaţie sunt reprezentate de:","tricuspidian, aortic","pulmonar, aortic, mitral","pulmonar, aortic, tricuspidian"
51,Licență MV/Patologie și clinică medicală,1,"Suflul endocardic organic, de stenoză, are caracter:",aspirativ,dur,mixt
52,Licență MV/Patologie și clinică medicală,0,"Tusea nocturnă, apoi diurnă, de tip paroxistic şi emetizant apare în:",insuficienţa mitralei,insuficienţa aortică,insuficienţa pulmonarei
53,Licență MV/Patologie și clinică medicală,2,Poliurie asociată cu polakisurie apare în:,congestia renală pasivă,hidronefroză,congestia renală activă
54,Licență MV/Patologie și clinică medicală,2,"Diagnosticul pozitiv, prin utilizarea testului cu Roşu de Congo se face în:",nefroza granulară,nefroza necrotică,nefroza amiloidă
55,Licență MV/Patologie și clinică medicală,1,Ca-EDTA se administrează în:,cistita acută,nefrita epitelială,retenţia urinară
56,Licență MV/Patologie și clinică medicală,2,"Funcţional, în retenţia urinară se instalează:",oligurie,poliurie,anurie
57,Licență MV/Patologie și clinică medicală,1,La căţeii cu “nicturie” se administrează:,aminofenazonă,atropină,algocalmin
58,Licență MV/Patologie și clinică medicală,1,Ca şi analeptice cardio-respiratorii se administrează:,Paracetamol,Pentetrazol,Propranolol
59,Licență MV/Patologie și clinică medicală,2,Pahimeningita reprezintă inflamaţia:,arahnoidei,pia mater,dura mater
60,Licență MV/Patologie și clinică medicală,2,"În meningoencefalitele de natură bacteriană, examenul calitativ al sângelui evidenţiază:",limfocitoză,leucopenie,leucocitoză neutrofilică
61,Licență MV/Patologie și clinică medicală,2,"În meningoencefalitele de natură micotoxică, examenul calitativ al sângelui evidenţiază:",leucocitoză,neutrofilie,leucopenie
62,Licență MV/Patologie și clinică medicală,1,Examenul calitativ al sângelui constă în:,determinarea numărului de leucocite,formulă leucocitară,determinarea hemoglobinei şi a hematocritului
63,Licență MV/Patologie și clinică medicală,1,"Ataxia exprimată prin mers ebrios, în “zig-zag” apare în:",sindromul vestibular,sindromul cerebelos,sindromul bulbar
64,Licență MV/Patologie și clinică medicală,2,"Ataxia medulară, cu mers rectiliniu, cu “pas de cocoş” apare în:",sindromul Brown-Sequard,sindromul radicular senzitiv,sindromul leucomedular dorsal
65,Licență MV/Patologie și clinică medicală,1,Afectarea măduvei în regiunea cervicală se manifestă cu:,paraplegie,cvadriplegie flască,hemiplegie stângă
66,Licență MV/Patologie și clinică medicală,2,Cedează la antinevralgice şi au caracter recidivant:,nevritele,mialgiile reumatismale,nevralgiile
67,Licență MV/Patologie și clinică medicală,1,În epilepsie se administrează:,Fenosept,Fenobarbital,Finadyne
68,Licență MV/Patologie și clinică medicală,0,Mioclonia reprezintă:,"contracţii involuntare, ritmice, localizate şi persistente în timpul somnului",contracţii voluntare şi generalizate,"contracţii involuntare, aritmice, localizate şi care dispar în timpul somnului şi sub acţiunea calmantelor"
69,Licență MV/Patologie și clinică medicală,1,Vagotonia se manifestă prin:,"febră, constipaţie, hipertensiune arterială şi oculară, tahipnee, tahicardie","hipotermie, diaree, hipotensiune arterială şi oculară, bradipnee, bradicardie","normotermie, diaree, tahipnee, tahicardie, exoftalmie cu midriază"
70,Licență MV/Patologie și clinică medicală,1,Atropina este:,simpaticolitic,parasimpaticolitic,parasimpaticomimetic
71,Licență MV/Patologie și clinică medicală,0,Nanismul disarmonic este de natură:,tiroidiană,hipofizară,paratiroidiană
72,Licență MV/Patologie și clinică medicală,1,Insulina este secretată de:,celulele alfa,celulele beta,celulele gama
73,Licență MV/Patologie și clinică medicală,1,Insulina determină:,hiperglicemie,hipoglicemie,hipocalcemie
74,Licență MV/Patologie și clinică medicală,0,Diabetul zaharat este produs de:,deficit de insulină şi exces de glucagon,exces de insulină şi deficit de glucagon,exces de insulină
75,Licență MV/Patologie și clinică medicală,2,"În diabetul zaharat, paraclinic se evidenţiază:","hipoglicemie, fără glucozurie","hipoglicemie, glucozurie","hiperglicemie, glucozurie"
76,Licență MV/Patologie și clinică medicală,1,Ephidroza reprezintă:,transpiraţie cu sânge,transpiraţie localizată,transpiraţie generalizată
77,Licență MV/Patologie și clinică medicală,1,"În pruritul cutanat, local se recurge la:",soluţii alcoolice,fluocinolon,ung cu biiodură de mercur
78,Licență MV/Patologie și clinică medicală,0,"Medicamentos, în pruritul cutanat se administrează:",Nilfan,Iodisept,Iodură de potasiu
79,Licență MV/Patologie și clinică medicală,1,"În cistita acută, hematuria este:",intermitentă,terminală,continuă
80,Licență MV/Patologie și clinică medicală,1,Hematuria cronică enzootică a bovinelor apare în urma consumului de:,Colchicum autumnale,Pteridium aquilinum,Papaver royas
81,Licență MV/Patologie și clinică medicală,0,"În tratamentul hematuriei cronice enzootice a bovinelor, rezultate bune se obţin prin administrarea de:",Emetic,Efedrină,Eucaliptol
82,Licență MV/Patologie și clinică medicală,1,"În timpanismul acut, oprirea fermentaţiilor se face cu:",acid sulfuric 2%,acid acetic 1%,acid azotic 3%
83,Licență MV/Patologie și clinică medicală,0,"În indigestia spumoasă a prestomacurilor, creşterea tensiunii superficiale se face cu:",Sicaden,Atropină,Cloramină B
84,Licență MV/Patologie și clinică medicală,0,Alcaloza rumenală este consecinţa raţiilor:,hiperazotate şi hipoglucidice,hiperglucidice şi hipoproteice,hiperlipidice
85,Licență MV/Patologie și clinică medicală,1,Acidoza rumenală este consecinţa raţiilor:,hiperlipidice şi hiperazotate,hiperglucidice şi hipoproteice,hipoglucidice şi hipoproteice
86,Licență MV/Patologie și clinică medicală,0,În ingluvita catarală se administrează:,soluţii acidulate,soluţii alcaline,Stamicin
87,Licență MV/Patologie și clinică medicală,0,În bronhopneumoniile micotice se administrează:,Nistatin,Selenit de sodiu,Sel-E-vit
88,Licență MV/Patologie și clinică medicală,1,Glucagonul determină:,hipoglicemie,hiperglicemie,hiperlipemie
89,Licență MV/Patologie și clinică medicală,1,În icterul hepato-celular apare:,tahisfigmie,bradisfigmie,normosfigmie
90,Licență MV/Patologie și clinică medicală,1,În obstrucţia esofagului se constată:,asteatoză,sialoree,ephidroză
91,Licență MV/Patologie și clinică medicală,1,"În icterul mecanic, simptomatic se constată:",diaree,constipaţie,hipertermie
92,Licență MV/Patologie și clinică medicală,2,Zgomotul diastolic este de natură:,valvulară,musculo – valvulară,vasculo – valvulară
93,Licență MV/Patologie și clinică medicală,2,"Focarele de ascultaţie, pe partea dreaptă sunt reprezentate de:",pulmonar,mitral,tricuspidian
94,Licență MV/Patologie și clinică medicală,0,În tratamentul cetozei taurinelor se folosesc:,corticosteroizi,mineralocorticoizi,17-cetosteroizi
95,Licență MV/Patologie și clinică medicală,0,Toxiemia de gestaţie a oilor este determinată de:,deficitul de precursori pentru neoglucogeneză,excesul de precursori pentru lipogeneză,carenţa în aminoacizi esenţiali
96,Licență MV/Patologie și clinică medicală,0,În tratamentul cetozei taurinelor se recomandă:,propilenglicol,etilenglicol,metilenglicol
97,Licență MV/Patologie și clinică medicală,0,"În sindromul vacii grase, după parturiţie, se constată:",deteriorarea rapidă a stării de întreţinere,îngrăşarea excesivă,scăderea procentului de grăsime din lapte
98,Licență MV/Patologie și clinică medicală,0,Parezia de parturiţie este urmarea:,hipocalcemiei acute,hipersecreţiei de parathormon,hipomagneziemiei acute
99,Licență MV/Patologie și clinică medicală,1,În parezia de parturiţia a vacilor se constată:,hiperexcitabilitate nervoasă şi hipertonie musculară,depresiune nervoasă centrală şi hipotonie musculară,contracţii clonico-tonice
100,Licență MV/Patologie și clinică medicală,0,Parezia de parturiţie poate fi determinată de:,aportul excesiv de calciu în cursul gestaţiei,carenţa în magneziu pe perioada gestaţiei,carenţa în fosfor în cursul gestaţiei
101,Licență MV/Patologie și clinică medicală,0,Osteomalacia la vaci  este determinată de:,carenţa în fosfor şi vitamina D,carenţa în calciu,carenţa în calciu şi excesul de fosfor
102,Licență MV/Patologie și clinică medicală,2,Osteofibroza este determinată de:,excesul de calciu şi carenţa în fosfor,carenţa de fosfor şi vitamina D,carenţa în calciu şi excesul de fosfor
103,Licență MV/Patologie și clinică medicală,1,În tratamentul osteofibrozei se recomandă:,preparate pe bază de fosfor,preparate pe bază de calciu,făinuri proteice
104,Licență MV/Patologie și clinică medicală,0,"În osteofibroză, la examenul biochimic al sângelui se constată:",hiperfosfatemie,hipofosfatemie,hipercalcemie
105,Licență MV/Patologie și clinică medicală,0,Carenţa în fier la purcei determină:,anemie hipocromă microcitară,anemie normocromă macrocitară,anemie hipercromă microcitară
106,Licență MV/Patologie și clinică medicală,0,Ataxia enzootică a mieilor este determinată de:,carenţa în cupru,carenţa în seleniu şi vitamina E,carenţa în vitamina B1
107,Licență MV/Patologie și clinică medicală,0,Prevenirea ataxiei enzootice se realizează prin administrare de:,"sulfat de cupru soluţie 0,5-1%",selenit de sodiu şi vitamina E,vitamina B1 şi B6
108,Licență MV/Patologie și clinică medicală,0,În encefalomalacia puilor de găină se intervine cu:,vitamina E,selenit de sodiu,Cuprosel
109,Licență MV/Patologie și clinică medicală,0,"Paraclinic, în miodistrofia enzootică a mieilor se constată:",reducerea activităţii serice a glutation-peroxidazei,creşterea activităţii serice a glutation-peroxidazei,creşterea activităţii serice a glutation-peroxidazei asociată cu scăderea activităţii serice a tranaminazelor
110,Licență MV/Patologie și clinică medicală,0,Sindromul de miopatie- dispnee la bovine este determinat de:,carenţa în vitamina E şi seleniu,carenţa în fier,carenţa în magneziu
111,Licență MV/Patologie și clinică medicală,0,Marasmul enzootic la bovine este determinat de:,carenţa în cobalt şi vitamina B12,carenţa în Cu,carenţa în Mg
112,Licență MV/Patologie și clinică medicală,1,În miodistrofia nutriţională a mieilor se intervine cu:,salicilat de sodiu,selenit de sodiu,sulfat de sodiu
113,Licență MV/Patologie și clinică medicală,1,În rahitism la păsări se utilizează:,numai vitamina D2,numai vitamina D3,atât vitamina D2 cât şi vitamina D3
114,Licență MV/Patologie și clinică medicală,2,Forfecarea ciocului la păsări se întâlneşte în:,hipovitaminoza B2,hipovitaminoza B3,hipovitaminoza B5
115,Licență MV/Patologie și clinică medicală,0,Peroza este determinată de :,carenţa în mangan,carenţa în magneziu,carenţa în molibden
116,Licență MV/Patologie și clinică medicală,2,Focarele de ascultaţie pe partea stângă sunt reprezentate de:,tricuspidian,"aortic, tricuspidian","pulmonar, aortic, mitral"